項番,旧項番,種別,単位,グループ,サブグループ,タスク,方法,抽出,対象（ソースコード、AST）,単位,備考,比較対象,表示形式
81,3.2.1.1,ダッシュボード,単一,セキュリティ・脆弱性関連,,SQLインジェクション,埋め込みSQLの部分で、ユーザー入力が直接SQL文に組み込まれている箇所を特定する,"脆弱な箇所の数, 該当箇所, 脆弱性の深刻度",AST,"件, 行番号, 文字列","パラメータ化されていないクエリや入力値のバリデーション不足も検出する, 高・中・低",セキュアコーディングガイドラインが必要,表形式
82,3.2.1.2,ダッシュボード,単一,セキュリティ・脆弱性関連,,バッファオーバーフローほか,データの受け渡し部分でのサイズチェックを解析する,"脆弱な箇所の数, 該当箇所, 脆弱性の種類",AST,"件, 行番号, 文字列","配列や文字列操作での境界チェック不足や、ポインタ操作の不備も検出する, スタックオーバーフロー、ヒープオーバーフローなど",セキュアコーディングガイドラインが必要,表形式、グラフ（棒グラフ、円グラフ）
83,3.2.1.3,ダッシュボード,単一,セキュリティ・脆弱性関連,,安全でないファイル操作等,ファイル操作時のエラーチェックやアクセス制御を解析する,"問題のあるファイル操作の数, 該当箇所, 具体的な問題点",AST,"件, 行番号, 文字列","ファイルパスの検証不足や一時ファイルの安全な使用方法も検討する, エラーハンドリング欠如、権限設定不備",セキュアコーディングガイドラインが必要,表形式
84,3.2.2.1,ダッシュボード,単一,セキュリティ・脆弱性関連,,CVEデータベース連携,使用されているライブラリやモジュールのCVE情報を確認する,"該当するCVE番号, 影響を受ける箇所, 脆弱性の詳細情報",AST,"文字列, 行番号","ライブラリのバージョン情報を取得し、最新のCVE情報と照合する, 深刻度、攻撃方法、影響範囲",,表形式
85,3.2.2.2,ダッシュボード,単一,セキュリティ・脆弱性関連,,セキュリティ脆弱性スコアリング,"検出された脆弱性の深刻度を評価する, 環境特有の要因を考慮した環境評価も計算する","脆弱性のスコア, 深刻度のレベル, 各脆弱性の影響要因",AST,"数値, 文字列","CVSSスコアなどを用いて深刻度を評価する, 高、中、低, 機密性、完全性、可用性への影響度",CVSS（共通脆弱性評価システム）の基準が必要,表形式、グラフ（棒グラフ）
86,3.2.2.3,ダッシュボード,単一,セキュリティ・脆弱性関連,,推奨対策提示,検出された脆弱性に対して対策方法や修正案を提示する,"推奨される対策内容, 対策の実施優先度や影響範囲",AST,文字列,公式のセキュリティアドバイザリやパッチ情報も参照する,セキュリティガイドラインが必要,テキスト記述
87,3.3.1.1,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,モジュール分割推奨箇所,大規模で複雑なモジュールを特定し、適切なサイズに分割する提案を行う,"対象モジュール名, 推奨される分割数, 分割後のモジュールの役割や相互関係",AST,"文字列, 数, データ構造",機能ごとの凝集度やモジュール間の結合度も評価する,モジュールのサイズや複雑度に関する基準が必要,表形式、モジュール構成図、フローチャート
88,3.3.1.2,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,ロジック最適化候補,非効率なアルゴリズムや無駄な処理を特定する,"問題のあるロジック箇所, 最適化提案, 最適化による性能向上の予測値",AST,"行番号, 文字列, 数値",パフォーマンスプロファイリングを行い、ボトルネックを特定する,パフォーマンス向上のためのベストプラクティスが必要,表形式、グラフ
89,3.3.1.3,ダッシュボード,単一,コード品質・保守性・最適化・規約遵守関連,,保守性向上施策,コードの可読性や保守性を低下させる要因を特定する,"改善が必要な箇所, 改善提案, 改善による効果",AST,"行番号, 文字列","長過ぎる関数、深いネスト、命名規則違反などを検出する, 可読性向上、バグ減少",コーディング規約や保守性評価基準が必要,テキスト記述、表形式
90,3.3.1.4,ダッシュボード,単一,可視化・UI・フォーム・画面関連,,共通化推奨処理,重複している処理やコードを特定する,"重複している処理の箇所, 共通化によるメリット, 共通モジュール化による保守性や品質向上の効果",AST,"行番号, 文字列",コードクローン検出ツールを使用し、重複度や類似度を評価する,コードの再利用性に関するガイドラインが必要,表形式、グラフ
91,1.1.1.1,ダッシュボード,複数,コード品質・保守性・最適化・規約順守関連,,プログラム数・目的の一覧,"各COBOLソースの解析結果から、プログラム名を集計し一覧を作成する, 各COBOLソースの解析結果から、プログラムの目的やメタデータを集計する, 各COBOLソースの開発者名、作成日、バージョン情報、依存関係を集計する","プログラム名一覧, プログラム目的, メタデータ情報",解析結果,文字列,,,表形式
92,1.1.1.2,ダッシュボード,複数,コード品質・保守性・最適化・規約順守関連,,全プログラムの更新履歴サマリ,"各ソースの更新履歴情報を集計し、時系列でサマリを作成する, 各プログラムの更新回数を集計する, プログラム全体の更新傾向を分析する","更新履歴一覧, プログラムごとの更新回数, 変更頻度の傾向分析",解析結果,"文字列, 件",,更新履歴の記載フォーマットがある場合、比較可能,表形式、グラフ
93,1.1.1.3.1,ダッシュボード,複数,コード品質・保守性・最適化・規約順守関連,,プログラム毎の行数比較,"各プログラムの総行数を集計し比較する, 各プログラムのコメント行数、空行数、実装コード行数を集計する","総行数比較, 行数内訳比較",解析結果,行,,プログラムの規模を評価するために他のプログラムと比較可能,グラフ（棒グラフ）、表形式
94,1.1.1.3.2,ダッシュボード,複数,コード品質・保守性・最適化・規約順守関連,,平均行数,"全プログラムの総行数の平均を算出する, 全プログラムのコメント行数、実装コード行数の平均を算出する","平均総行数, 平均行数内訳",解析結果,行,,組織内での標準的なプログラム行数があれば比較可能,テキスト記述、グラフ（棒グラフ）
95,1.1.1.3.3,ダッシュボード,複数,コード品質・保守性・最適化・規約順守関連,,最大・最小行数,"最大行数と最小行数を持つプログラムを特定する, 最大・最小プログラムの詳細情報を集計する","最大最小行数プログラム, プログラム詳細情報",解析結果,"行, 文字列",,プログラムの規模に関するガイドラインがあれば比較可能,テキスト記述、表形式
